153.16299202295542	93162.9920229553	St Luc	6	1	threat1
158.6512319142253	98651.23191422512	St Pierre	8	1	threat1
162.80741314862428	102807.41314862414	Delta	1	1	threat1
164.51891040865502	104518.91040865495	St Elisabeth (Uccle)	7	1	threat1
169.4311349702321	109431.13497023196	Brugmann Huderf	2	1	threat1
170.89551298447162	110895.5129844715	UZ Brussel	5	1	threat1
205.8534540535544	145853.45405355404	Halle	3	1	threat1
221.00899503161148	161008.9950316111	Erasmus	4	1	threat1
507.70348886492104	7703.488864921053	Brugmann Huderf	2	2	threat2
509.1678668791606	9167.866879160589	UZ Brussel	5	2	threat2
511.6837495097926	11683.749509792615	St Pierre	8	2	threat2
513.8173639915648	13817.363991564827	St Luc	6	2	threat2
516.3424879495168	16342.487949516826	Delta	1	2	threat2
520.3721209198598	20372.120919859753	St Elisabeth (Uccle)	7	2	threat2
544.1258079482433	44125.80794824325	Halle	3	2	threat2
559.2813489263004	59281.3489263004	Erasmus	4	2	threat2
